lat,N/S,lon,E/W,PCellID,RSSNR,5PCellID,5SNR
47.15193203,N,27.58943107,E,218,1,105,33.5
47.15193218,N,27.58943073,E,218,3,105,33.5
47.15193177,N,27.58943147,E,218,3,105,34.5
47.15193173,N,27.58943147,E,218,4,105,40
47.15193173,N,27.58943132,E,218,2,105,33.5
47.15193162,N,27.58943147,E,218,-2,105,34
47.1519318,N,27.58943102,E,218,-4,105,40
47.15193162,N,27.58943128,E,218,-3,105,40
47.15193168,N,27.58943108,E,218,-4,105,33.5
47.15193155,N,27.58943128,E,218,0,105,33
47.15193133,N,27.58943168,E,218,1,105,37
47.15193128,N,27.58943173,E,218,0,105,31.5
47.15193122,N,27.5894318,E,218,-1,105,31.5
47.15193118,N,27.58943178,E,218,-5,105,32
47.15193113,N,27.58943178,E,218,0,105,33.5
47.1519311,N,27.58943178,E,218,1,105,32.5
47.15193103,N,27.58943185,E,218,1,105,32
47.15193097,N,27.58943182,E,218,-2,105,32.5
47.15193092,N,27.58943185,E,218,0,105,40
47.15193083,N,27.58943187,E,218,2,105,40
47.15193077,N,27.58943182,E,218,2,105,40
47.15193072,N,27.58943178,E,218,1,105,33.5
47.15193068,N,27.58943173,E,218,3,105,31.5
47.15193067,N,27.58943173,E,218,2,105,40
47.15193063,N,27.58943172,E,218,0,105,31.5
47.1519306,N,27.58943168,E,218,0,105,33.5
47.15193057,N,27.58943163,E,218,1,105,40
47.15193052,N,27.58943163,E,218,-2,105,40
47.15193048,N,27.58943162,E,218,0,105,34.5
47.15193047,N,27.58943158,E,218,1,105,40
47.15193042,N,27.58943158,E,218,1,105,33.5
47.15193038,N,27.58943157,E,218,2,105,35.5
47.15193035,N,27.58943152,E,218,0,105,33
47.1519303,N,27.5894315,E,218,3,105,33
47.15193027,N,27.58943147,E,218,0,105,33.5
47.15193023,N,27.58943143,E,218,0,105,40
47.15193023,N,27.58943137,E,218,1,105,40
47.15193022,N,27.58943128,E,218,1,105,33
47.15193017,N,27.58943123,E,218,-3,105,40
47.15193015,N,27.58943118,E,218,1,105,33
47.15193013,N,27.58943112,E,218,1,105,40
47.15193012,N,27.58943105,E,218,2,105,35.5
47.15193012,N,27.58943098,E,218,2,105,36
47.15193008,N,27.58943092,E,218,0,105,40
47.15193008,N,27.58943085,E,218,2,105,39.5
47.15193007,N,27.58943078,E,218,2,105,38
47.15193003,N,27.58943075,E,218,0,105,33
47.15193003,N,27.5894307,E,218,1,105,33.5
47.15193003,N,27.58943067,E,218,-4,105,33.5
47.15193003,N,27.58943062,E,218,-6,105,40
47.15193003,N,27.58943057,E,218,-1,105,32.5
47.15193002,N,27.58943055,E,218,-4,105,36.5
47.15192433,N,27.58942095,E,218,0,105,33.5
47.15192057,N,27.58940797,E,218,0,105,40
47.15191772,N,27.58939773,E,218,-4,105,40
47.151913,N,27.58938712,E,218,0,105,40
47.15190818,N,27.58937082,E,218,3,105,40
47.15190198,N,27.58934648,E,218,3,105,37.5
47.15189397,N,27.58930932,E,218,7,105,40
47.1518819,N,27.58924273,E,218,-1,105,36
47.15187513,N,27.58915767,E,218,-3,105,31.5
47.1518685,N,27.58907652,E,218,-2,105,31.5
47.15186782,N,27.5889921,E,218,1,105,29.5
47.15187357,N,27.58890567,E,218,0,105,25.5
47.15187782,N,27.58882127,E,218,-1,105,27.5
47.15188832,N,27.58874223,E,218,-3,105,23.5
47.1519052,N,27.58867242,E,218,0,105,20
47.15191778,N,27.58861192,E,218,0,105,23
47.15193635,N,27.58855798,E,218,-6,105,26
47.15194722,N,27.58850983,E,218,0,105,26.5
47.15195868,N,27.58847818,E,218,-5,105,27
47.15196668,N,27.58845668,E,218,-8,105,29
47.15196717,N,27.58844862,E,218,-3,105,32
47.15196938,N,27.58844588,E,218,-3,105,30.5
47.15196905,N,27.58844335,E,218,-3,105,30.5
47.1519671,N,27.5884468,E,105,11,105,30.5
47.15196678,N,27.58844612,E,105,2,105,30.5
47.15196817,N,27.58844522,E,105,23,105,30.5
47.15196892,N,27.58844395,E,105,23,105,30.5
47.15196862,N,27.58844483,E,105,23,105,30.5
47.15196892,N,27.58844342,E,105,6,105,30.5
47.1519691,N,27.58844175,E,105,6,105,30.5
47.15196735,N,27.58844105,E,105,22,105,30.5
47.15196737,N,27.58843818,E,105,12,105,30.5
47.15196723,N,27.58843782,E,105,25,105,32.5
47.15196698,N,27.5884377,E,105,25,105,32.5
47.15196687,N,27.58843763,E,105,24,105,29
47.15196688,N,27.58843758,E,105,25,105,29
47.15196692,N,27.58843752,E,105,25,105,29
47.15196692,N,27.58843748,E,105,0,105,29
47.15196688,N,27.58843745,E,105,0,105,29
47.15196687,N,27.58843742,E,105,0,105,29
47.15196685,N,27.58843742,E,218,0,105,29
47.15196682,N,27.58843742,E,218,1,105,30.5
47.15196678,N,27.58843743,E,218,0,105,31
47.15196677,N,27.58843745,E,218,2,105,35.5
47.15196673,N,27.58843748,E,218,2,105,35.5
47.1519667,N,27.58843755,E,105,2,105,35.5
47.15196678,N,27.58843747,E,105,23,105,40
47.15196678,N,27.58843748,E,105,6,105,40
47.15196688,N,27.58843737,E,105,4,105,40
47.1519672,N,27.58843702,E,105,4,105,40
47.15196722,N,27.58843698,E,218,1,105,40
47.15196723,N,27.58843697,E,218,-3,105,32
47.15196728,N,27.58843688,E,218,-1,105,30.5
47.15196727,N,27.58843692,E,218,-1,105,30
47.15196742,N,27.58843678,E,218,0,105,31.5
47.15196743,N,27.58843673,E,218,2,105,30
47.15196733,N,27.58843682,E,218,0,105,29.5
47.15196727,N,27.58843685,E,218,-1,105,34.5
47.15196722,N,27.58843688,E,105,21,105,34.5
47.15196718,N,27.58843688,E,105,22,105,32
47.15196718,N,27.58843687,E,105,22,105,32
47.15196718,N,27.58843687,E,105,23,105,31.5
47.15196722,N,27.58843687,E,105,21,105,32.5
47.15196718,N,27.58843687,E,218,0,105,32.5
47.15196712,N,27.58843693,E,218,0,105,31.5
47.15196713,N,27.58843693,E,218,1,105,30.5
47.15196713,N,27.58843693,E,218,2,105,36.5
47.15196713,N,27.58843693,E,218,0,105,32
47.15196713,N,27.58843693,E,218,-4,105,29.5
47.15196713,N,27.58843693,E,218,-4,105,32.5
47.15196713,N,27.58843693,E,218,-4,105,30.5
47.15196713,N,27.58843693,E,218,-5,105,28
47.15196713,N,27.58843692,E,218,-5,105,30
47.15196715,N,27.58843688,E,218,-4,105,30.5
47.15196715,N,27.58843688,E,218,-7,105,30
47.15196715,N,27.58843692,E,218,-2,105,29
47.15196717,N,27.58843688,E,218,3,105,30.5
47.15196717,N,27.58843688,E,218,-6,105,30
47.15196715,N,27.58843688,E,218,-9,105,29.5
47.15196715,N,27.58843688,E,218,-7,105,35.5
47.15196715,N,27.58843688,E,218,1,105,31
47.15196713,N,27.5884369,E,218,-4,105,34
47.15196712,N,27.58843693,E,218,-1,105,29
47.15196708,N,27.58843695,E,218,1,105,33
47.15196707,N,27.58843695,E,218,0,105,29.5
47.15196707,N,27.58843693,E,218,0,105,30.5
47.15196707,N,27.58843693,E,218,0,105,30
47.15196703,N,27.58843692,E,218,-2,105,29.5
47.15196702,N,27.58843692,E,218,0,105,29.5
47.15196713,N,27.58843697,E,218,-3,105,36
47.15196717,N,27.58843695,E,218,-6,105,29
47.15196727,N,27.58843698,E,218,-3,105,29.5
47.15196727,N,27.58843693,E,218,0,105,38
47.15196728,N,27.58843695,E,218,0,105,38
47.15196733,N,27.58843695,E,105,23,105,38
47.15196735,N,27.58843697,E,105,25,105,30
47.15196733,N,27.58843698,E,105,25,105,30
47.15196733,N,27.588437,E,105,25,105,30
47.15196737,N,27.58843703,E,105,25,105,33.5
47.15196738,N,27.58843707,E,105,25,105,33.5
47.15196737,N,27.58843708,E,218,-5,105,33.5
47.15196733,N,27.5884371,E,218,-1,105,33
47.1519673,N,27.58843713,E,218,1,105,30.5
47.15196728,N,27.58843713,E,218,-2,105,28.5
47.15196727,N,27.5884371,E,105,24,105,28.5
47.15196727,N,27.5884371,E,105,24,105,28.5
47.15197832,N,27.58841097,E,218,-6,105,28.5
47.15199562,N,27.58837328,E,218,-8,105,28.5
47.15201883,N,27.58832395,E,218,-7,105,28.5
47.15205157,N,27.58826198,E,218,-7,105,28.5
47.15208413,N,27.58821768,E,218,0,105,33
47.15210892,N,27.58815875,E,218,-2,105,33
47.15213113,N,27.58808062,E,218,0,105,38
47.15216135,N,27.58798982,E,218,-1,105,38.5
47.15220172,N,27.58790223,E,218,5,105,35
47.15224008,N,27.5878021,E,218,-2,105,38
47.15228977,N,27.5876951,E,218,0,105,38.5
47.15234488,N,27.58757742,E,218,5,105,36.5
47.1523981,N,27.58745528,E,218,5,105,33
47.15245737,N,27.58732387,E,218,7,105,30
47.15252275,N,27.58718062,E,218,7,105,40
47.15258577,N,27.58702525,E,218,6,105,40
47.15265447,N,27.58686483,E,218,14,105,36
47.15272667,N,27.58669812,E,218,4,105,3
47.15278998,N,27.58653897,E,218,0,105,2.5
47.15286362,N,27.58637975,E,218,-4,105,22
47.15293137,N,27.58622502,E,218,3,107,13.5
47.15299858,N,27.58606888,E,218,0,105,21
47.15306527,N,27.58591762,E,218,0,105,21
47.15312918,N,27.5857806,E,105,13,105,24
47.15319017,N,27.58564453,E,105,-3,105,24
47.15323993,N,27.58552328,E,105,8,105,24
47.15328922,N,27.58540482,E,105,17,107,22
47.1533384,N,27.58528873,E,105,1,107,22
47.15338788,N,27.58517663,E,218,-2,107,22
47.15343203,N,27.58507838,E,218,-3,107,24.5
47.15346863,N,27.58500157,E,218,-6,107,24
47.15349933,N,27.58494113,E,218,-6,107,24
47.1535155,N,27.58489607,E,105,0,107,24
47.15352822,N,27.58487648,E,105,10,107,28
47.15353732,N,27.58486427,E,105,10,107,28
47.15354262,N,27.58485075,E,105,11,107,26.5
47.15354438,N,27.58484297,E,105,10,107,25
47.15354473,N,27.58484187,E,107,-3,107,25
47.15354435,N,27.58483868,E,105,1,107,25
47.15354423,N,27.58484008,E,105,1,107,25
47.15354473,N,27.58484033,E,107,3,107,22.5
47.15354548,N,27.58484025,E,107,3,107,22.5
47.15354573,N,27.58483953,E,105,0,107,22.5
47.15354472,N,27.58483863,E,107,-2,107,22.5
